,comment_author,star_rating,comment_date,comment_title,comment
2388,Barry,1.0 out of 5 stars,"Reviewed in the United States on April 14, 2019",Poor Chip Quality,"  I have been eating and enjoying these chips for over 15 years.  Sometimes, I would get a bag of stale chips that tasted like cardboard, but this would occur infrequently.  Over the last year, the chip quality started to change radically with entire batches of 24 bags of chips being stale or impossible to eat because they were too hard.  My last three orders consisted of one batch of cardboard chips and two batches of rock chips.  Unfortunately, I have decided never to order these chips again because I have no idea what I will get."
2389,Fred Welcher,1.0 out of 5 stars,"Reviewed in the United States on July 26, 2019",Pull date of 12/17,  I'm not sure why these were even shipped with a pull date of 12/17 but this is not acceptable.  The chips were stale and bad tasting.  I just can't believe these were even shipped.  Someone didn't do their job and this fell shot.
2390,Nina T,3.0 out of 5 stars,"Reviewed in the United States on May 15, 2017",LOVE the chips but...,"  As I said, I LOVE these chips. They are absolutely delicious. However, this is the second time that I have opened a bag that had less than 1/5 full of chips, brand new! I shrugged it off the first time, but now I feel somewhat jilted. These chips aren't the cheapest ones around, and I have them on a subscription. I hope they can improve their QC. I'm afraid if I find bag # 3 like this that I will have to spend my money elsewhere."
2391,Stefanie W.,1.0 out of 5 stars,"Reviewed in the United States on November 25, 2015","to my great disappointment, there seems to be something very wrong ...","  After I ran out of the previous terra chips I had ordered, I tore into my new box of individually packaged Terra chips.  However, to my great disappointment, there seems to be something very wrong with this order...none of the bags has a notch with which to tear it open (requiring scissors, my teeth, whatever is around to even get into them) and then so far, each of the 3 bags I've opened is stale!  They are all well before their expiration date and tightly sealed as far as I can tell.  Additionally, they are kept in a temperature controlled area of my home so in my opinion they arrived this way.  Very disappointed and I'm past the date to be able to return them per Amazon...so I'm stuck with a large box of stale chips!"
2392,Philip K. Jones,1.0 out of 5 stars,"Reviewed in the United States on March 9, 2020",So stale they taste NASTY!,"  I love these chips when they are fresh. I always look for them at airport shops when I travel. In fact, I could say I am slightly addicted to them. So I ordered these and they arrived very quickly. However, upon trying a packet, they had a very nasty stale taste. I know how these should taste as I have, over the past 10 years purchased many from supermarkets. So when I got this package, I could wait to try a pack. They tasted so bad I had to spit out what was in my mouth. The label said use before June 8, 2020, but all I can say is that maybe these wont poison me but they tasted terrible anyway."
2393,Dedicated,1.0 out of 5 stars,"Reviewed in the United States on January 8, 2020",Spoiled product,"  This is a reliable product with great taste, flavor and texture. I ordered and returned one box due to rancid taste (bad oil in frying or improper storage) and received prompt replacement from Amazon. Unfortunately the replacement was the same batch and expiration date, and tasted the same, rancid. But Amazon would not accept a return (their bot is so structured) and I have to dispose of two unusable boxes and eat the expense. Please do not buy lots with April 20 expiration since they may be an entire lot with the same problem. Hoping that a real human will read this at Amazon and rectify the problem."
2394,MMartins,4.0 out of 5 stars,"Reviewed in the United States on November 8, 2018",Description said blue chips but got mixed flavors in last order 🤨,"  First, I think these are an excellent product but I have to mention that when I last ordered through Subscribe & Save, I received a box that also contained Regular and Sweet Potato.  The description never mentioned anything but the blue chips. There were also multiple bags containing soggy chips. Umm yuck!The product itself is delicious. It doesn't taste like most of the over processed junk out there. My 9 year old daughter loves the blue chips and I don't feel badly packing a bag for school snack. They can be a bit pricey but Amazon offers a pretty good deal. I'm just leery after my last experience."
2395,Rachel K.,5.0 out of 5 stars,"Reviewed in the United States on March 22, 2016",Wise choice for people who need to count on calories,"  So far the best potato chip I ever had. It's crispy yet without traditional oil frying. It has incredibly low calories compared to regular potato chips which I like. When you think about snack chips available in the market, you can't really find something that is ""healthier choice"" but Terra Chips give you variety option of baked chip without the trans fats, real vegetables, with no sodium option. It has over 25 different varieties available.Nice thing about this chips are it comes with smaller package which is about 28 grams while other regular brand chips come with 50 grams. I have tried original recipe, sweet potatoes, taro, and my favorite blue potatoes. Unlike real veggies, it will come with all the calories and fat of a regular chip but with healthier version. It has a line of no-added salt version which is good to manage their sodium level.Packaging was superior, all of my 24 chips come in one box without scattered pieces. I can't wait to try different varieties when they have more promotional sale.Tip: Price changes constantly, just monitor the price to grab a best deal.

TERRA Blues, Sea Salt, 1 Ounce (Pack of 24)"
2396,Sophie,3.0 out of 5 stars,"Reviewed in the United States on November 26, 2015",Need to find them in larger sizes,"  Had these on JetBlue a couple of times and was hooked. I looked at several health food stores for them and came up empty-handed, although they had Terra brand chips.  I wonder why this flavor are so hard to find.  The small bags may be fine as a free snack on an airplane, but it felt wasteful as a snack at home.  All the little bags.  One is never enough and you reach for another. And another.  I felt like I was paying more for air than for chips.  The chips were generally delicious, but some bags had chips that seemed stale and more tough than what I had on JetBlue.  But next time I'm hunting for these chips, I will want to find them in regular size bags."
2397,Helen,1.0 out of 5 stars,"Reviewed in the United States on August 2, 2019",Lol,  wtf🙂. Almost 18$ only 3 box ....hahahahhaa  there’s 3 dollar per box in the market...
2398,Monkey King 2004,1.0 out of 5 stars,"Reviewed in the United States on April 19, 2020","Buyer beware ""3 boxes"" ordered only 1 box delivered",  These big roll seaweeds are delicious and I bought multiple times. However the most recent delivery only had 1 box instead of three boxes. I contacted the seller but there was no response. One star!!
2399,E.Tam,5.0 out of 5 stars,"Reviewed in the United States on March 31, 2019",Tasty Crunchy BBQ Flavored Seaweed Snacks = Yummy!!,"  One of my favorite snacks - got hooked when I went to Macau!  So happy they sell on Amazon, THANK YOU! :*I also didn't have to wait long for my package to arrive.  It's sold 3 boxes per order - of course I had to 2 orders = 6 boxes total, there's 9 individually packaged rolls per box."
2400,Tamara,5.0 out of 5 stars,"Reviewed in the United States on August 4, 2020","Light, Healthy, and Tasty",  I bought these at Costco once and loved them. Went back for more and they stopped selling them. Searched for them on here just for the heck of it and found them. And saw they have other flavors. Can't wait to order more and try them. These are tasty. Original flavor is a little sweet. They are low in calorie and sugar and are a good healthy snack
2401,Anna T.,1.0 out of 5 stars,"Reviewed in the United States on March 6, 2020",You get one box instead of 3 as listed.,"  The product lists as 3 boxes but the seller only sends one box out. Not sure if it's some scam where they still get the money or what, but just expect overpaying for one box of product. The actual food product is delicious and addicting but don't buy from this seller."
2402,Mizz Brwn,5.0 out of 5 stars,"Reviewed in the United States on June 26, 2019",A snack I can’t stop snacking on,  I’m already on my last box!! This a guilt free snack & im ready for more. It’s a healthy crispy crunchy alternative for a bag of chips.
2403,Icewine,1.0 out of 5 stars,"Reviewed in the United States on March 11, 2020",It expires in 10 days.,  It expires within 10 days.  Terrible!
2404,Dawn Richardson,5.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",Favorite Snack,  Package arrived in perfect condition. 8 yr old daughter loves this seaweed snack. It's crispy and easy to eat while on the run.
2405,ameerah Al Sahraa,5.0 out of 5 stars,"Reviewed in the United States on July 18, 2020",Its the best tasting snack ever!,  This is the best snack I have ever had I love it so much I ordered  more boxes!  I thank you for speedy shipping too i love it thank you I'll be back for more !
2406,AP fan,3.0 out of 5 stars,"Reviewed in the United States on October 29, 2019",fun to eat and little spicy - watch out when crunching down and breathing in,"  weird I know but if you inhale while first taking a bite, you can end up coughing up the food. otherwise, super fun to eat, crunchy and tasty.  little spicy if you eat by itself. good with rice or other foods."
2407,Melanie N.,2.0 out of 5 stars,"Reviewed in the United States on April 24, 2020",Not in love yet.,  Bought this because Bretman showed me the way. I’m sure other flavors are good but this one has a sweetness to it that I don’t enjoy. I like my seaweed snacks on the savory side. Will try to experiment with them as a popcorn topper
2408,Brian Dalgarn,1.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",Not as described,  Description says 3 boxes. Only 1 received.
2409,Piyao,1.0 out of 5 stars,"Reviewed in the United States on March 20, 2020",Only received 1 box,  I only received one box. The description of the item is for 3 Boxes. Where are the other two boxes?
2410,Sonia Concha,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2020",Spicy is good,  Fire!! They are delicious! A little smell of fishy  but if you eat seaweed chips it’s the same.
2411,Marissa,5.0 out of 5 stars,"Reviewed in the United States on June 12, 2020",DELICIOUS,  BOMB DOT COME! Didn’t realize I was going to get 3 big boxes full of these! Super glad I bought them online!
2412,Cisco n Z,5.0 out of 5 stars,"Reviewed in the United States on November 4, 2019",These are bomb!!!,  Im obsessed with these!!!! Cheaper to buy here than anywhere else online!
2413,Brittany Foster,5.0 out of 5 stars,"Reviewed in the United States on January 18, 2020",Love,  want more already... wondering about different flavors now
2414,foxylilium,5.0 out of 5 stars,"Reviewed in the United States on February 29, 2020",Spicy tom yum,"  If you want spicy definitely get the tom yum. Delicious flavor, with each bite the spice kicks in more !"
2415,Pete,3.0 out of 5 stars,"Reviewed in the United States on February 13, 2020",Awesome snack!,  Tastes great! A little pricey though.
2416,Nikeya Jenkins,5.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",YUM!!!,"  sweet and spicy, but super gentle."
2417,Nuclear Veteran,5.0 out of 5 stars,"Reviewed in the United States on August 6, 2019",Love these!,  Love these. Spicy and sweet. Just ordered more.
2418,Rhubarb878,2.0 out of 5 stars,"Reviewed in the United States on July 26, 2020",Sugary,  Too much sugar
2419,Life of Function,5.0 out of 5 stars,"Reviewed in the United States on June 29, 2019",Good to the last one!,"  It tastes amazing, I love having them as snacks. I was worried with a box this huge I would get sick of them before I finished the box, but I didn’t and actually want more! They’re also good crushed up on French fries!"
2420,Doris,5.0 out of 5 stars,"Reviewed in the United States on January 8, 2020",Awesome Seaweed Snack!,  Fast shipping. Great fresh product!
2421,Mel mac,5.0 out of 5 stars,"Reviewed in the United States on September 1, 2019",Yummy,  Love it
2422,Jerry Patron,5.0 out of 5 stars,"Reviewed in the United States on October 26, 2019",Yummy seaweed,  Grandkids love it
2423,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on January 19, 2020","Only one box received, ordered and paid for 3.","  I love the product is very tasty, I only received one box when I should have received three and I paid for the amount of three boxes."
2424,Susan,5.0 out of 5 stars,"Reviewed in the United States on November 21, 2018",So so yummy!!!,  My family loves these. They're addicting!
2425,stacie,1.0 out of 5 stars,"Reviewed in the United States on April 21, 2020",Not as advertised,  Said it came with 3boxes and I only got 1box😭.very disappointed as the product is delicious.
2426,Arianna,1.0 out of 5 stars,"Reviewed in the United States on April 8, 2020",You don’t receive your full order.,  Product is amazing. But they say you will get 3 boxes but you only receive one. Then when you try getting your money back they give a number that isn’t taking calls due to the virus.
2427,David,3.0 out of 5 stars,"Reviewed in the United States on March 21, 2020",Too sweet for me.,  The sweetness of this particular seaweed roll took me for surprise. I'm not a fan.
2428,Ryan & Sam,2.0 out of 5 stars,"Reviewed in the United States on December 18, 2019",Check The Quantity,"   I only received one box..... It was $17.87 for 3 boxes, no?"
2429,Will,3.0 out of 5 stars,"Reviewed in the United States on June 27, 2019",Spicy but SWEET,"  I should have read the ingredients but these have added sugar. I was hoping for spicy nori rolls but these are more like candy. If you have a sweet tooth, these are perfect."
2430,Kindle Customer,1.0 out of 5 stars,"Reviewed in the United States on June 16, 2020",Quantity in description is not honored!,  The product description says that 3 boxes will be sent but I was only sent one! Frustrating.
2431,Cherry,5.0 out of 5 stars,"Reviewed in the United States on August 27, 2019",Yummy,  This thing is addicting!
2432,12345,5.0 out of 5 stars,"Reviewed in the United States on January 1, 2020",Great for a diet snack,  It tastes good but still in low calories. I don’t feel guilt when even if I eat a couple during a diet.
2433,Sheena,5.0 out of 5 stars,"Reviewed in the United States on January 28, 2020",Yummy,  Love it taste so good. Very delicious
2434,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on February 23, 2020",Only one box came instead of three!,"  I paid $17 for three boxes, but only one box came!"
2435,Elizabeth Najera,1.0 out of 5 stars,"Reviewed in the United States on April 14, 2020","Ordered 3, Got 1","  I ordered the 3, but only 1 came. I’m getting my money back. Going to dispute with my bank"
2436,anon,1.0 out of 5 stars,"Reviewed in the United States on February 4, 2020",Only received 1 of the 3 boxes,  Description says 3 boxes but I only received 1 box and I paid in full for all 3..
2437,Tianchen Feng,1.0 out of 5 stars,"Reviewed in the United States on April 21, 2020",The number of the item is not right,  It says 3 boxes per order is $17 ，and I bought two orders， but I only got 2boxes.
2438,DoubleSeo,1.0 out of 5 stars,"Reviewed in the United States on April 10, 2020",ONE BOX INSTEAD OF 3 BOXES,  I got ONE BOX instead of 3 boxes for 16 dollars. SUPER EXPENSIVE
2439,Jessica P.,1.0 out of 5 stars,"Reviewed in the United States on April 18, 2020",Only got 1 box instead of 3,  I only received 1 box rather than the 3 that I paid for. Not happy about this.
2440,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on January 23, 2020",Bad info,  Says 3 boxes only got 1
2441,Derren barbarian ,5.0 out of 5 stars,"Reviewed in the United States on December 31, 2019",Big roll seaweed so good.,  This so good. My son and I love . I too eat a box a day
2442,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on April 4, 2020",Not really a 3 pack,"  This says it is a 3 pack, however I only had 1 box!!"
2443,ITNetwork ,2.0 out of 5 stars,"Reviewed in the United States on January 3, 2020",Missing in action,  I ordered two orders and I got two boxes not six
2444,Sarah And Kevin,5.0 out of 5 stars,"Reviewed in the United States on July 29, 2019",Good,"  3 boxes, 9 packets per box! Great deal!"
2445,Isaura Rendon,1.0 out of 5 stars,"Reviewed in the United States on March 25, 2020",Do not purchase,  Strong Fishy 🤮
2446,Mary B.,1.0 out of 5 stars,"Reviewed in the United States on May 14, 2020",1 box only came,  only 1 box came and not 3.
2447,Jiali Zha,5.0 out of 5 stars,"Reviewed in the United States on September 24, 2019",great,  great
2448,cmr,5.0 out of 5 stars,"Reviewed in the United States on December 22, 2019",Tasty,  Good!
2449,Tony,2.0 out of 5 stars,"Reviewed in the United States on December 31, 2019",How many boxes?,"  How many boxes for this order? The description says three, but some people only received one box?"
2450,Celena ,1.0 out of 5 stars,"Reviewed in the United States on April 7, 2020",Only received 1 box..,"  Why did I only get one box?! Are there a way to report, I’m quite disappointed..."
2451,Gar2009,5.0 out of 5 stars,"Reviewed in the United States on July 12, 2019",Good,  Tasty
2452,Jessica Amanda Salmonson,5.0 out of 5 stars,"Reviewed in the United States on February 11, 2017",Tasty Treat Indeed,"  For flavor this is identical to a great many other brands, salty seaweed and oil flavor. I love it, though it's even saltier than other brands of salty seaweed snacks. It's like eating air it's so light and can't hurt your health the way a bunch of potato chips would, but it also won't make you feel like you ate something. Just for the lovely flavor and texture."
2453,Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on May 31, 2020","Fresh, crunchy and low cal!","  Was impressed with the freshness of the seaweed snack.  Some other sources sent product that seemed old stock.  This product was wonderful and came intact. Seaweed snacks are fragile, so careful packaging is needed.  Great product and great packaging!"
2454,Cora7777,3.0 out of 5 stars,"Reviewed in the United States on May 20, 2017",A low calorie snack,"  I received this product today. I felt like the flavor was nice, the seaweed was nice and crisp. The only complaint I have is that they are a tad too salty for me. I had to drink water in between bites. I will finish this product but I'm not sure I will buy again. I'm going to try some other brands to see how they rate."
2455,TKS,3.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",Expensive but authentic,"  Same item as in korea but i can get at local usa supermarket for 50c per pack.  Due to lack of stock locally, i bought it on amazon. If price was lower i would give it 5 stars."
2456,eXample,5.0 out of 5 stars,"Reviewed in the United States on August 19, 2016",I compared the taste of these with the Costco brand seaweed and these CJ's taste sooooo much better. So much more flavorful,"  These are delicious but too small! I didn't read where it says ""five grams"", I just assumed it would be the standard size they have at the grocery store. I compared the taste of these with the Costco brand seaweed and these CJ's taste sooooo much better. So much more flavorful. I used to love the Costco brand, but after tasting these, my tongue is spoiled! Now the Costco ones taste bitter!"
2457,Levi Eisel,3.0 out of 5 stars,"Reviewed in the United States on November 4, 2019","If you have a problem with textures of food, you probably won't like things like these.","  I'm not going to give it a 1 star because this is more preference based. Imagine eating something thinner than paper, it was gross.I'm sensitive to certain things though, apple skin, grape skin, corn, or oranges, I just cant get them down and have a chewed up piece of something I want to spit out.This product isn't like the above where I can't chew it, but it was like trying to eat rolling paper or thin wax paper you'd use for presentations. You can bite it off easy, but it's so thin it feels weird to attempt to chew. I don't know how some people can do it."
2458,Steven,4.0 out of 5 stars,"Reviewed in the United States on January 4, 2016","A Light, but Good Tasty Snack!","  Sooo tasty! I love how these are so good, yet I can eat them generally guilt free. Only 30 calories per pack, with a decent sodium count, it's a snack I can quickly pack in my lunch bag and munch on the road or in between meals...Does anyone else get the urge to eat sushi after eating these??"
2459,Kleiber1,5.0 out of 5 stars,"Reviewed in the United States on November 2, 2019",DELICIOUS!,"  You either like these natural treats, or you don't.  I love them.  The flavor is great consumed by themselves, or you can mix them up with freshly steamed rice or add them to noodle soups and so on.  And the price is great."
2460,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 3, 2019",Perfect,"  People don’t realize how many different types of seaweed there are and how many different types of oil they put on the Seaweed and I have to say ,”this one is my favorite!”. I’m pretty picky when it comes to eating snacks and food but this was the perfect flavor and crunch for me."
2461,D. Palumbo,5.0 out of 5 stars,"Reviewed in the United States on April 30, 2016",G.T.G. HERE!,  I've read some reviews from a few of the different brands. One had ants in the packets. Gross. This item came in no problems. Looks good taste good. I'm just developing my taste for these so I can't give detailed flavor descriptions. But they are tasty and sealed well. No issues.
2462,Alisha,5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",The ideal seaweed snack,"  Don't believe the hype about it being too salty,  it definitely isn't . Perfect low calorie snack. I love this product"
2463,shante,5.0 out of 5 stars,"Reviewed in the United States on June 25, 2020",great,"  will be rebuying, they are amazing with rice and other things. I honestly wish you got more  and the price was a lititle cheaper"
2464,ReadWriteSleep,5.0 out of 5 stars,"Reviewed in the United States on July 3, 2019","Good, but salty!","  I like almost any kind of seaweed snack, and I'm trying just about every brand I can find.  So far, my favorites are Annie Chun and Black Label.  These are good, but considerably saltier than those two -- though that's not a bad thing, really.If you like salt, you'll be happy. If you want savory with less salt, try K-pop seaweed snacks."
2465,bailey,5.0 out of 5 stars,"Reviewed in the United States on May 29, 2019",My childhood,"  My mother always bought seaweed, so I naturally have a love for it. These taste just like the ones from my childhood."
2466,PD Freeman,5.0 out of 5 stars,"Reviewed in the United States on June 25, 2016",Love them!,"  Did not think I would like these, but was looking for a healthier snack and danged but these things are GOOD! Already went back and bought another even bigger package and will reorder again in the next few days."
2467,Ciru Feldman,5.0 out of 5 stars,"Reviewed in the United States on April 15, 2018",Perfect Seaweed,"  This is my favorite seaweed ever, and i even reccomend it to people who don't like seaweed. There are places you can buy it that are cheaper than here, but if its hard for you to get to an asian food store, this is worth it."
2468,flying dagger ,1.0 out of 5 stars,"Reviewed in the United States on May 4, 2019",Bad,"  After I ate this 4 packs consecutely, I got a sore throat and a cold. I don’t know if this is bad since it had too much salts."
2469,ANGELAM,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2020",Expensive but perfect taste,"  Felt like it’s a little expensive but I love the product itself, taste perfect"
2470,Billise M. Akins,3.0 out of 5 stars,"Reviewed in the United States on November 6, 2019",Average,"  The product is great, but I found  better values."
2471,Caroline,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2018",Crisp and Salty,  It's a little salter than other brands but still excellent. I love the crispy texture.
2472,Jay,5.0 out of 5 stars,"Reviewed in the United States on January 26, 2019",Tasty,"  Tasty roasted seaweed, good for snack or compliment to Korean meals."
2473,Lorraine Komatsubara,5.0 out of 5 stars,"Reviewed in the United States on May 1, 2019",Good value.,  My grandson loves these seaweed snacks.
2474,YGK,5.0 out of 5 stars,"Reviewed in the United States on May 23, 2020",great with spam and eggs,  great with spam and eggs
2475,"""kayn@cris.com""",5.0 out of 5 stars,"Reviewed in the United States on March 21, 2018",SO GOOD,"  Great snack! I assumed at first they were healthy since it's seaweed which is an ocean vegetable. But it has a lot of salt and herbs and spices on it and it's kind of greasy so maybe it's not healthy and I always need to wipe my hands after eating them, but they TASTE GREAT!!!!"
2476,Honey,2.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",First order was good BUT NOT THE SECOND ORDER,  I ordered two times but the second delivery was different tastes and a little different color of package. It was something really bad with seaweed thus I had to threw away. Hopefully they didn't put something bad in it.
2477,Memyelfnannette,5.0 out of 5 stars,"Reviewed in the United States on May 21, 2019",Fishy snack,"  This taste like fried fish 🐠 skin, with 🧂salt. I really like it."
2478,Cee Ell,5.0 out of 5 stars,"Reviewed in the United States on December 12, 2016",Tasty!!,  Great tasting seaweed. Nice roast and the right amount of salt. Holds together well and doesn't break or crumble like other brands.
2479,Keanne,5.0 out of 5 stars,"Reviewed in the United States on April 15, 2020",So delicious!!,  Great buy!! Taste fresh and sooo good!
2480,cinemadam,4.0 out of 5 stars,"Reviewed in the United States on December 8, 2018",Good but...,  Good but never arrives when it says.
2481,Jim Powers,5.0 out of 5 stars,"Reviewed in the United States on March 24, 2017",Five Stars,  I love this stuff.  Great.  Will order many more times.
2482,jason a. crider,5.0 out of 5 stars,"Reviewed in the United States on January 23, 2017",They're pretty tasty snacks,"  They're pretty tasty snacks, makes me crave sushi though. I'll probs order more of these in the future - worth the money!"
2483,Freddy ,5.0 out of 5 stars,"Reviewed in the United States on May 4, 2020",High quality,"  The product arrived super fast, awesome condition, I’m very satisfied with the product, thank you."
2484,AmazonAlias,5.0 out of 5 stars,"Reviewed in the United States on March 21, 2016",Perfect amount of salt (I like more vs,  Perfect amount of salt (I like more vs. less salt on seaweed) and deliciously crispy. Individual pieces are thicker than some other brands so I feel like I'm getting more for my money!
2485,raymond way aka king halo halo purple stuff,4.0 out of 5 stars,"Reviewed in the United States on July 21, 2019",good product!,  good product.
2486,Jim,5.0 out of 5 stars,"Reviewed in the United States on April 15, 2016",Review of CJ Premium Roasted Seaweed Snacks,"  This was not my first experience eating other brands Korean style, roasted seaweed as a snack. This is the best brands I've tasted."
2487,Zkie,5.0 out of 5 stars,"Reviewed in the United States on March 10, 2016",Just perfect,  Love this seaweed. It is hard to find personal pack seaweed where I live now. The only down side is that it cost a lot for 8 an pack.
2488,PiggityDiggity,5.0 out of 5 stars,"Reviewed in the United States on July 2, 2016",Expensive online but still yummy.,"  Delicious, but if you can find it at a local Asian grocer, it will be about 2/3 cheaper than here."
2489,CD,5.0 out of 5 stars,"Reviewed in the United States on October 30, 2016",Yummy!,"  My child loves to eat this as a snack, or with tofu and eggs by making a little sushi roll."
2490,Wendy,3.0 out of 5 stars,"Reviewed in the United States on August 2, 2016","These tasted great, but were a lot of packaging and volume ...","  These tasted great, but were a lot of packaging and volume for a small snack. I'm going with a more compact version now."
2491,Mahisha,5.0 out of 5 stars,"Reviewed in the United States on August 6, 2020",Great price,  Love the taste and texture
2492,Che,5.0 out of 5 stars,"Reviewed in the United States on April 22, 2017",Five Stars,  Tastes fishy. Not what I expected.
2493,Kim Bomi,1.0 out of 5 stars,"Reviewed in the United States on March 18, 2018",Its taste is not good.,  Not fresh smell. Its taste is not good.
2494,Catfish Billy,1.0 out of 5 stars,"Reviewed in the United States on May 28, 2019",Tasted Stale,  Weird aftertaste and tasted musty.Cheaper at the Korean market and within use by date
2495,Icefirefort,5.0 out of 5 stars,"Reviewed in the United States on March 21, 2018",Hooked,  Premium roasted seaweed indeed. Got my mom hooked on this brand even though she wasn't big on seaweed. Extra oil and salt but it's still a better snack than most.
2496,Maira M.,5.0 out of 5 stars,"Reviewed in the United States on May 19, 2020",It was so yummy!!!!,  I loved it! It was amazing and I will definitely be ordering again!!!
2497,Fatima O,4.0 out of 5 stars,"Reviewed in the United States on May 28, 2016",Four Stars,"  I love seaweed snacks, this is just a little too salty in some of the packs"
2498,Ho Kim,5.0 out of 5 stars,"Reviewed in the United States on November 3, 2018",I found what I looking for Finally! Healthy product ship to my place!,  Nice!
2499,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on December 12, 2017",Five Stars,  I recommend it a lot
2500,Rosalie Ann Wood,4.0 out of 5 stars,"Reviewed in the United States on January 2, 2020",It was a gift,  She liked them
2501,Steven Alex,5.0 out of 5 stars,"Reviewed in the United States on June 9, 2016",Great product. Use it for my Miso soup and no longer recommending any other brands.,  Just perfect. I use it for my miso soup and it's perfect. Highly recommended.
2502,ginoza,5.0 out of 5 stars,"Reviewed in the United States on November 1, 2019",great,  great
2503,Debbie,5.0 out of 5 stars,"Reviewed in the United States on March 12, 2016",We ordered both these and the Annie Chun's brand- like them both,  We ordered both these and the Annie Chun's brand- like them both. The individual packets are smaller than Annie Chun's.
2504,Kat Master-Haines,3.0 out of 5 stars,"Reviewed in the United States on June 26, 2016",Three Stars,"  Nice tasting, but wish I got a little more for my money."
2505,Tracy Pinkard,5.0 out of 5 stars,"Reviewed in the United States on December 3, 2015",Five Stars,  My FAVORITE roasted seaweed! Great salty flavor and texture!
2506,k223940,5.0 out of 5 stars,"Reviewed in the United States on December 21, 2015",Five Stars,  Ordered several kinds and this was our favorite.
2507,Georgia A Wireman,5.0 out of 5 stars,"Reviewed in the United States on August 2, 2016",Five Stars,  This is very tasty and always crispy.
2508,Shulammite,5.0 out of 5 stars,"Reviewed in the United States on October 31, 2016",Five Stars,  My favorite!!
2509,Myung Ah Kim,5.0 out of 5 stars,"Reviewed in the United States on October 31, 2016",Five Stars,  Delicious!
2510,Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2015",Seaweed,"  These are really good, will be getting more."
2511,AUS PAUSE INC,1.0 out of 5 stars,"Reviewed in the United States on March 16, 2016",More aquarium food,  Ugh
2512,Michelle A. Coble,5.0 out of 5 stars,"Reviewed in the United States on October 12, 2016",Five Stars,  I love this seaweed!
2513,Robert S,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2018",Great product,  Very fresh
2514,Phillipa Woodriffe,5.0 out of 5 stars,"Reviewed in the United States on May 13, 2019",nothing,  Was what I expected.
2515,Apple,5.0 out of 5 stars,"Reviewed in the United States on June 7, 2016",Five Stars,  Great taste!
2516,Amazon Customer,2.0 out of 5 stars,"Reviewed in the United States on September 7, 2016",OUCH-NASTY,  Taste is bad- 1st time I tried seaweed and probably the last.
2517,Jayleigh ❣️,5.0 out of 5 stars,"Reviewed in the United States on June 28, 2016",Five Stars,  yummy snack!!!!
2518,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2016",Lightly salted for a great taste.,  This stuff is delicious! Lightly salted for a great taste.
2519,Sue,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2016",Five Stars,  Terrific!
2520,Kimo T.,5.0 out of 5 stars,"Reviewed in the United States on February 19, 2016",Five Stars,  Really good Seaweed!
2521,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2016",Five Stars,  Undoubtedly the best!!!  Have to control myself - could munch on them all day at work.
2522,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 18, 2017",Five Stars,  Love them!
2523,Amazon Customer,3.0 out of 5 stars,"Reviewed in the United States on July 2, 2016",Three Stars,  It's okay
2524,Renee Lafarge,2.0 out of 5 stars,"Reviewed in the United States on February 2, 2017",SO SO,"  If you are some one that already likes seaweed then it might be just fine.  However, if you are introducing it for the first time it may not go over in a big way.  The texture is a bit slimy once in the mouth.  So if you know you love seaweed go for it."
2525,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 7, 2016",Five Stars,  Good!
2526,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on December 10, 2015",Five Stars,  good
2527,LittleMonsterPawz,2.0 out of 5 stars,"Reviewed in the United States on February 9, 2016",It was very bleh tasting and I did not enjoy it at all,  Ordered this product hoping to have something similar to the seaweed served at a local Korean Restaurant. Sadly this product did not come close in my opinion. It was very bleh tasting and I did not enjoy it at all.
2528,Amadan,1.0 out of 5 stars,"Reviewed in the United States on June 11, 2016",Crunchy and salty but not the taste for me.,  I'm glad other people found this tasty.  It is salty enough but the background flavor was way too fishy for me.  If you have acquired the taste I think it will be fine as it is crunchy and salty.  Unfortunately it's not for me.
